symbol,cik,name,sector,exchange
BDX,10795,BECTON DICKINSON & CO,Health Care,NYSE
ES,72741,EVERSOURCE ENERGY,Utilities,NYSE
AER,1378789,AerCap Holdings N.V.,Information Technology,NYSE
EOG,821189,EOG RESOURCES INC,Energy,NYSE
AMT,1053507,AMERICAN TOWER CORP /MA/,Real Estate,NYSE
FE,1031296,FIRSTENERGY CORP,Utilities,NYSE
HPQ,47217,HP INC,Industrials,NYSE
PCAR,75362,PACCAR INC,Consumer Discretionary,Nasdaq
SYK,310764,STRYKER CORP,Health Care,NYSE
WMB,107263,"WILLIAMS COMPANIES, INC.",Utilities,NYSE
PEG,788784,PUBLIC SERVICE ENTERPRISE GROUP INC,Utilities,NYSE
WELL,766704,WELLTOWER INC.,Real Estate,NYSE
LNG,3570,"Cheniere Energy, Inc.",Utilities,NYSE
O,726728,REALTY INCOME CORP,Real Estate,NYSE
TSN,100493,"TYSON FOODS, INC.",Consumer Staples,NYSE
LEN,920760,LENNAR CORP /NEW/,Industrials,NYSE
MMM,66740,3M CO,Health Care,NYSE
BX,1393818,Blackstone Inc.,Financials,NYSE
FHN,36966,FIRST HORIZON CORP,Financials,NYSE
CTVA,1755672,"Corteva, Inc.",Consumer Staples,NYSE
XYZ,1512673,"Block, Inc.",Information Technology,NYSE
BG,1996862,Bunge Global SA,Consumer Staples,NYSE
WEC,783325,"WEC ENERGY GROUP, INC.",Utilities,NYSE
DHI,882184,HORTON D R INC /DE/,Industrials,NYSE
VST,1692819,Vistra Corp.,Utilities,NYSE
WRB,11544,BERKLEY W R CORP,Financials,NYSE
LYB,1489393,LyondellBasell Industries N.V.,Materials,NYSE
OMC,29989,OMNICOM GROUP INC.,Information Technology,NYSE
WBS,801337,WEBSTER FINANCIAL CORP,Financials,NYSE
AEE,1002910,AMEREN CORP,Utilities,NYSE
SBUX,829224,STARBUCKS CORP,Consumer Discretionary,Nasdaq
CMI,26172,CUMMINS INC,Industrials,NYSE
CNP,1130310,CENTERPOINT ENERGY INC,Utilities,NYSE
APD,2969,"Air Products & Chemicals, Inc.",Materials,NYSE
MELI,1099590,MERCADOLIBRE INC,Information Technology,Nasdaq
PPL,922224,PPL Corp,Utilities,NYSE
RSG,1060391,"REPUBLIC SERVICES, INC.",Utilities,NYSE
DLR,1297996,"DIGITAL REALTY TRUST, INC.",Real Estate,NYSE
INTU,896878,INTUIT INC.,Information Technology,Nasdaq
EQT,33213,EQT Corp,Energy,NYSE
ADBE,796343,ADOBE INC.,Information Technology,Nasdaq
DVN,1090012,DEVON ENERGY CORP/DE,Energy,NYSE
CMS,811156,CMS ENERGY CORP,Utilities,NYSE
CBRE,1138118,"CBRE GROUP, INC.",Real Estate,NYSE
BKNG,1075531,Booking Holdings Inc.,Industrials,Nasdaq
TCOM,1269238,Trip.com Group Ltd,Information Technology,Nasdaq
CRCL,1876042,"Circle Internet Group, Inc.",Financials,NYSE
APH,820313,AMPHENOL CORP /DE/,Information Technology,NYSE
MAR,1048286,MARRIOTT INTERNATIONAL INC /MD/,Consumer Discretionary,Nasdaq
NRG,1013871,"NRG ENERGY, INC.",Utilities,NYSE
GLW,24741,CORNING INC /NY,Materials,NYSE
VICI,1705696,VICI PROPERTIES INC.,Real Estate,NYSE
URI,1067701,"UNITED RENTALS, INC.",Information Technology,NYSE
KMX,1170010,CARMAX INC,Consumer Discretionary,NYSE
SPG,1063761,SIMON PROPERTY GROUP INC.,Real Estate,NYSE
CAR,723612,"AVIS BUDGET GROUP, INC.",Consumer Discretionary,Nasdaq
SE,1703399,Sea Ltd,Information Technology,NYSE
EXE,895126,EXPAND ENERGY Corp,Energy,Nasdaq
EVRG,1711269,"Evergy, Inc.",Utilities,Nasdaq
BIIB,875045,BIOGEN INC.,Health Care,Nasdaq
WTW,1140536,WILLIS TOWERS WATSON PLC,Financials,Nasdaq
APTV,1521332,Aptiv PLC,Consumer Discretionary,NYSE
TRGP,1389170,Targa Resources Corp.,Utilities,NYSE
LYV,1335258,"Live Nation Entertainment, Inc.",Communication Services,NYSE
WFC,72971,WELLS FARGO & COMPANY/MN,Financials,NYSE
GS,886982,GOLDMAN SACHS GROUP INC,Financials,NYSE
MS,895421,MORGAN STANLEY,Financials,NYSE
CCI,1051470,CROWN CASTLE INC.,Real Estate,NYSE
AMZN,1018724,AMAZON COM INC,Consumer Discretionary,Nasdaq
HOOD,1783879,"Robinhood Markets, Inc.",Financials,Nasdaq
MSFT,789019,MICROSOFT CORP,Information Technology,Nasdaq
TFC,92230,TRUIST FINANCIAL CORP,Financials,NYSE
QSR,1618756,Restaurant Brands International Inc.,Consumer Discretionary,NYSE
MOS,1285785,MOSAIC CO,Materials,NYSE
COIN,1679788,"Coinbase Global, Inc.",Financials,Nasdaq
AAPL,320193,Apple Inc.,Information Technology,Nasdaq
CTSH,1058290,COGNIZANT TECHNOLOGY SOLUTIONS CORP,Information Technology,Nasdaq
CLF,764065,CLEVELAND-CLIFFS INC.,Materials,NYSE
VTR,740260,"Ventas, Inc.",Real Estate,NYSE
META,1326801,"Meta Platforms, Inc.",Information Technology,Nasdaq
F,37996,FORD MOTOR CO,Consumer Discretionary,NYSE
AXP,4962,AMERICAN EXPRESS CO,Financials,NYSE
CMCSA,1166691,COMCAST CORP,Communication Services,Nasdaq
ATO,731802,ATMOS ENERGY CORP,Utilities,NYSE
LVS,1300514,LAS VEGAS SANDS CORP,Consumer Discretionary,NYSE
FITB,35527,FIFTH THIRD BANCORP,Financials,NYSE
HBAN,49196,HUNTINGTON BANCSHARES INC /MD/,Financials,Nasdaq
TMUS,1283699,"T-Mobile US, Inc.",Communication Services,Nasdaq
MTB,36270,M&T BANK CORP,Financials,NYSE
TDG,1260221,TransDigm Group INC,Industrials,NYSE
INTC,50863,INTEL CORP,Information Technology,Nasdaq
NEE,753308,NEXTERA ENERGY INC,Utilities,NYSE
ARES,1176948,Ares Management Corp,Financials,NYSE
JNJ,200406,JOHNSON & JOHNSON,Health Care,NYSE
DUK,1326160,Duke Energy CORP,Utilities,NYSE
CG,1527166,Carlyle Group Inc.,Financials,Nasdaq
IBKR,1381197,"Interactive Brokers Group, Inc.",Financials,Nasdaq
EXR,1289490,Extra Space Storage Inc.,Real Estate,NYSE
AVGO,1730168,Broadcom Inc.,Information Technology,Nasdaq
RTX,101829,RTX Corp,Industrials,NYSE
AZO,866787,AUTOZONE INC,Consumer Discretionary,NYSE
RF,1281761,REGIONS FINANCIAL CORP,Financials,NYSE
BLK,2012383,"BlackRock, Inc.",Financials,NYSE
WCN,1318220,"Waste Connections, Inc.",Utilities,NYSE
BRO,79282,"BROWN & BROWN, INC.",Financials,NYSE
FERG,2011641,Ferguson Enterprises Inc. /DE/,Industrials,NYSE
ICE,1571949,"Intercontinental Exchange, Inc.",Financials,NYSE
LH,920148,LABCORP HOLDINGS INC.,Health Care,NYSE
OVV,1792580,Ovintiv Inc.,Energy,NYSE
LNT,352541,ALLIANT ENERGY CORP,Utilities,Nasdaq
CSCO,858877,"CISCO SYSTEMS, INC.",Information Technology,Nasdaq
SYF,1601712,Synchrony Financial,Financials,NYSE
NLY,1043219,ANNALY CAPITAL MANAGEMENT INC,Real Estate,NYSE
MOH,1179929,"MOLINA HEALTHCARE, INC.",Health Care,NYSE
CRM,1108524,"Salesforce, Inc.",Information Technology,NYSE
WBD,1437107,"Warner Bros. Discovery, Inc.",Communication Services,Nasdaq
TMO,97745,THERMO FISHER SCIENTIFIC INC.,Health Care,NYSE
KMB,55785,KIMBERLY CLARK CORP,Materials,Nasdaq
AGNC,1423689,AGNC Investment Corp.,Real Estate,Nasdaq
HD,354950,"HOME DEPOT, INC.",Consumer Discretionary,NYSE
GLD,1222333,SPDR GOLD TRUST,Financials,NYSE
JD,1549802,"JD.com, Inc.",Consumer Discretionary,Nasdaq
CPAY,1175454,"CORPAY, INC.",Information Technology,NYSE
V,1403161,VISA INC.,Information Technology,NYSE
